"filename", "language", "HTML", "JavaScript", "PostCSS", "C#", "comment", "blank", "total"
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_19.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_190.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_191.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_192.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_193.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_194.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_195.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_196.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_197.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_198.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_199.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_2.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_20.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_200.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_201.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_202.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_203.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_204.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_205.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_206.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_207.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"c:\Users\gonca\Desktop\Gofish-Web\backend\GofishApi\VSdoc\search--\s_208.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
